profile_id,age_group,income,income_bracket,education,job_sector,risk_tolerance,investment_goal,investment_horizon,liquidity_needs
82,56-65,125958,100001-250000,Master,Entertainment,0.2,Retirement,8,0.45
83,26-35,2504388,1000001-5000000,Bachelor,Entertainment,0.42,Home Purchase,3,0.35
84,18-25,18500,0-25000,Bachelor,Retail,0.64,Retirement,44,0.39
85,18-25,5717,0-25000,Bachelor,Healthcare,0.35,Home Purchase,5,0.43
86,46-55,28725,25001-50000,Bachelor,Government,0.39,Home Purchase,3,0.51
87,18-25,52042,50001-100000,Bachelor,Education,0.65,Income Generation,12,0.55
88,26-35,4135,0-25000,Associate,Retail,0.47,Home Purchase,4,0.76
89,46-55,156368,100001-250000,PhD,Healthcare,0.58,Wealth Building,20,0.29
90,46-55,30002,25001-50000,Bachelor,Technology,0.2,Wealth Building,21,0.63
91,46-55,86805,50001-100000,Bachelor,Education,0.17,Retirement,19,0.35
92,46-55,30071,25001-50000,Associate,Technology,0.52,Wealth Building,28,0.33
93,46-55,90746,50001-100000,Bachelor,Technology,0.33,Wealth Building,19,0.57
94,46-55,4694,0-25000,High School,Healthcare,0.39,Wealth Building,16,0.44
95,56-65,10211,0-25000,Associate,Retail,0.1,Wealth Building,9,0.47
96,26-35,77144,50001-100000,Bachelor,Technology,0.48,Wealth Building,25,0.41
97,18-25,19638,0-25000,High School,Construction,0.79,Retirement,35,0.5
98,56-65,17451,0-25000,Associate,Entertainment,0.53,Home Purchase,9,0.41
99,56-65,430223,250001-1000000,Master,Manufacturing,0.51,Home Purchase,4,0.26
100,46-55,35914,25001-50000,High School,Manufacturing,0.38,Wealth Building,21,0.77
101,26-35,161937,100001-250000,Bachelor,Technology,0.58,Home Purchase,10,0.75
102,36-45,90929,50001-100000,PhD,Finance,0.44,Home Purchase,3,0.36
103,18-25,26233,25001-50000,Master,Technology,0.61,Home Purchase,3,0.38
104,46-55,71072,50001-100000,Bachelor,Agriculture,0.34,Wealth Building,12,0.4
105,66+,14344,0-25000,Associate,Retail,0.1,Education,15,0.62
106,36-45,54320,50001-100000,Bachelor,Finance,0.31,Wealth Building,14,0.79
107,46-55,37344,25001-50000,Associate,Technology,0.38,Education,10,0.67
108,18-25,4507,0-25000,High School,Government,0.5,Wealth Building,26,0.32
109,46-55,134354,100001-250000,Bachelor,Technology,0.55,Income Generation,24,0.17
110,46-55,79112,50001-100000,Bachelor,Government,0.31,Income Generation,25,0.53
111,66+,87384,50001-100000,Bachelor,Healthcare,0.24,Income Generation,8,0.49
112,36-45,21010,0-25000,High School,Construction,0.51,Retirement,17,0.34
113,56-65,482824,250001-1000000,PhD,Entertainment,0.37,Education,6,0.27
114,46-55,999422,250001-1000000,Master,Technology,0.12,Wealth Building,14,0.43
115,18-25,55193,50001-100000,Associate,Technology,0.83,Education,8,0.35
116,36-45,45409,25001-50000,High School,Construction,0.44,Home Purchase,5,0.36
117,18-25,21896,0-25000,Master,Healthcare,0.54,Income Generation,27,0.31
118,18-25,49489,25001-50000,Bachelor,Finance,0.7,Wealth Building,20,0.3
119,26-35,46064,25001-50000,Bachelor,Education,0.62,Wealth Building,12,0.38
120,36-45,42795,25001-50000,High School,Manufacturing,0.1,Retirement,20,0.16
121,46-55,38108,25001-50000,Master,Finance,0.64,Home Purchase,7,0.73
122,66+,19741,0-25000,High School,Manufacturing,0.1,Retirement,9,0.35
123,56-65,48817,25001-50000,Associate,Agriculture,0.38,Wealth Building,15,0.73
124,18-25,29137,25001-50000,Bachelor,Finance,0.47,Home Purchase,8,0.31
125,36-45,84699,50001-100000,Associate,Healthcare,0.28,Income Generation,13,0.32
126,26-35,45050,25001-50000,Master,Education,0.37,Education,17,0.75
127,46-55,36385,25001-50000,Bachelor,Healthcare,0.33,Wealth Building,30,0.32
128,66+,6585,0-25000,High School,Retail,0.17,Home Purchase,5,0.53
129,46-55,48493,25001-50000,Bachelor,Government,0.35,Education,15,0.55
130,66+,16477,0-25000,High School,Healthcare,0.14,Education,10,0.74
131,26-35,2584,0-25000,Associate,Retail,0.32,Home Purchase,5,0.56
132,56-65,20462,0-25000,Associate,Entertainment,0.4,Retirement,15,0.59
133,36-45,18747,0-25000,Associate,Retail,0.46,Income Generation,25,0.16
134,18-25,39862,25001-50000,High School,Education,0.51,Home Purchase,8,0.37
135,26-35,40286,25001-50000,Bachelor,Technology,0.65,Income Generation,15,0.52
136,36-45,16866,0-25000,Bachelor,Retail,0.25,Home Purchase,6,0.52
137,66+,19579,0-25000,Associate,Retail,0.32,Education,16,0.44
138,46-55,1676,0-25000,High School,Retail,0.13,Wealth Building,18,0.72
139,66+,58433,50001-100000,Associate,Government,0.38,Home Purchase,3,0.32
140,56-65,44866,25001-50000,High School,Construction,0.24,Home Purchase,8,0.45
141,26-35,43446,25001-50000,Master,Finance,0.6,Wealth Building,30,0.22
142,46-55,856575,250001-1000000,Master,Finance,0.22,Home Purchase,5,0.41
143,26-35,95910,50001-100000,High School,Finance,0.19,Education,12,0.29
144,36-45,84438,50001-100000,PhD,Education,0.49,Wealth Building,30,0.51
145,26-35,33078,25001-50000,Associate,Construction,0.65,Home Purchase,8,0.69
146,26-35,68861,50001-100000,Bachelor,Finance,0.43,Wealth Building,21,0.48
147,66+,171076,100001-250000,Master,Technology,0.4,Retirement,6,0.39
148,36-45,48507,25001-50000,Bachelor,Technology,0.18,Wealth Building,25,0.44
149,36-45,586769,250001-1000000,Associate,Education,0.53,Wealth Building,11,0.43
150,66+,146082,100001-250000,High School,Manufacturing,0.39,Wealth Building,9,0.37
151,46-55,2193539,1000001-5000000,Master,Finance,0.46,Wealth Building,20,0.1
152,18-25,6101,0-25000,High School,Manufacturing,0.56,Home Purchase,9,0.67
153,18-25,21930,0-25000,Master,Retail,0.48,Retirement,39,0.55
154,56-65,11781,0-25000,High School,Healthcare,0.22,Home Purchase,4,0.46
155,36-45,751411,250001-1000000,Master,Finance,0.45,Home Purchase,6,0.51
156,36-45,55366,50001-100000,Bachelor,Finance,0.29,Retirement,22,0.28
157,56-65,55960,50001-100000,Bachelor,Technology,0.19,Home Purchase,10,0.46
158,66+,8338,0-25000,Associate,Retail,0.1,Retirement,4,0.74
159,66+,5897,0-25000,Associate,Agriculture,0.32,Income Generation,11,0.34
160,46-55,27630,25001-50000,Bachelor,Education,0.45,Retirement,16,0.48
161,66+,113,0-25000,Master,Retail,0.38,Education,8,0.49
162,66+,23757,0-25000,High School,Retail,0.71,Wealth Building,8,0.42
163,56-65,19588,0-25000,Bachelor,Education,0.11,Home Purchase,5,0.5
164,46-55,183599,100001-250000,Master,Manufacturing,0.4,Home Purchase,5,0.41
165,56-65,36286,25001-50000,Bachelor,Government,0.26,Retirement,7,0.57
166,56-65,178837,100001-250000,Associate,Healthcare,0.17,Education,7,0.31
167,56-65,27591,25001-50000,Master,Technology,0.42,Retirement,14,0.66
168,46-55,24959,0-25000,Associate,Education,0.27,Wealth Building,25,0.59
169,66+,10538,0-25000,High School,Retail,0.2,Home Purchase,10,0.45
170,36-45,638713,250001-1000000,High School,Retail,0.5,Wealth Building,19,0.17
171,36-45,33053,25001-50000,Bachelor,Retail,0.1,Income Generation,30,0.56
172,26-35,73081,50001-100000,Bachelor,Education,0.74,Home Purchase,3,0.44
173,46-55,7167,0-25000,High School,Retail,0.46,Home Purchase,3,0.73
174,66+,362215,250001-1000000,Master,Technology,0.39,Education,6,0.25
175,26-35,95695,50001-100000,Bachelor,Government,0.78,Wealth Building,12,0.36
176,18-25,45865,25001-50000,Associate,Education,0.45,Home Purchase,3,0.56
177,56-65,2436,0-25000,High School,Retail,0.35,Wealth Building,5,0.73
178,26-35,27522,25001-50000,Bachelor,Manufacturing,0.77,Home Purchase,5,0.69
179,66+,24427,0-25000,High School,Retail,0.38,Wealth Building,14,0.38
180,66+,8956,0-25000,High School,Education,0.27,Retirement,9,0.22
181,26-35,119270,100001-250000,Bachelor,Finance,0.65,Education,6,0.3
182,36-45,6140,0-25000,Associate,Retail,0.44,Wealth Building,22,0.29
183,66+,246680,100001-250000,PhD,Finance,0.2,Retirement,7,0.35
184,26-35,38799,25001-50000,Bachelor,Finance,0.48,Home Purchase,7,0.24
185,56-65,199586,100001-250000,Bachelor,Healthcare,0.26,Income Generation,10,0.17
186,46-55,43871,25001-50000,Associate,Healthcare,0.49,Income Generation,16,0.5
187,18-25,86052,50001-100000,Bachelor,Construction,0.18,Wealth Building,12,0.35
188,26-35,65862,50001-100000,Associate,Education,0.44,Home Purchase,9,0.52
189,46-55,209656,100001-250000,Master,Healthcare,0.65,Home Purchase,4,0.55
190,46-55,46201,25001-50000,Bachelor,Manufacturing,0.17,Retirement,14,0.17
191,46-55,95067,50001-100000,Bachelor,Finance,0.57,Home Purchase,3,0.39
192,26-35,340026,250001-1000000,PhD,Technology,0.47,Retirement,30,0.29
193,18-25,70901,50001-100000,High School,Retail,0.35,Retirement,38,0.41
194,66+,38972,25001-50000,Associate,Education,0.1,Education,16,0.49
195,18-25,75483,50001-100000,Associate,Healthcare,0.8,Home Purchase,5,0.36
196,66+,21977,0-25000,Associate,Retail,0.32,Home Purchase,8,0.73
197,66+,177974,100001-250000,Master,Finance,0.27,Retirement,5,0.35
198,36-45,12573,0-25000,High School,Retail,0.3,Retirement,20,0.73
199,46-55,102513,100001-250000,Bachelor,Healthcare,0.47,Education,11,0.45
200,18-25,18526,0-25000,Associate,Manufacturing,0.38,Retirement,44,0.77
201,46-55,28710,25001-50000,Associate,Education,0.65,Education,11,0.54
202,36-45,2886315,1000001-5000000,PhD,Technology,0.62,Wealth Building,21,0.49
203,26-35,45191,25001-50000,Associate,Healthcare,0.3,Retirement,27,0.3
204,66+,8760,0-25000,Associate,Construction,0.35,Wealth Building,11,0.61
205,26-35,165452,100001-250000,Bachelor,Technology,0.67,Retirement,29,0.4
206,36-45,3050,0-25000,Associate,Retail,0.59,Home Purchase,3,0.61
207,46-55,240097,100001-250000,PhD,Manufacturing,0.44,Retirement,19,0.55
208,36-45,5176,0-25000,High School,Agriculture,0.15,Retirement,19,0.33
209,56-65,12184,0-25000,Associate,Healthcare,0.43,Wealth Building,11,0.64
210,18-25,15624,0-25000,Associate,Retail,0.5,Education,18,0.48
211,18-25,12552,0-25000,Bachelor,Healthcare,0.47,Education,15,0.51
212,36-45,78843,50001-100000,Associate,Retail,0.72,Education,6,0.33
213,36-45,164956,100001-250000,Associate,Finance,0.53,Wealth Building,10,0.61
214,46-55,41966,25001-50000,Associate,Finance,0.55,Wealth Building,17,0.45
215,18-25,44462,25001-50000,Master,Technology,0.49,Education,11,0.34
216,18-25,119135,100001-250000,Associate,Technology,0.71,Home Purchase,9,0.32
217,46-55,85236,50001-100000,Associate,Finance,0.4,Wealth Building,27,0.29
218,36-45,117332,100001-250000,Bachelor,Entertainment,0.38,Income Generation,13,0.32
219,46-55,49304,25001-50000,Associate,Technology,0.38,Home Purchase,5,0.32
220,56-65,130948,100001-250000,High School,Manufacturing,0.29,Wealth Building,14,0.42
221,36-45,26817,25001-50000,Bachelor,Finance,0.37,Home Purchase,6,0.27
222,66+,437655,250001-1000000,PhD,Finance,0.33,Education,9,0.5
223,66+,22063,0-25000,High School,Entertainment,0.1,Retirement,8,0.3
224,46-55,34555,25001-50000,Associate,Manufacturing,0.35,Home Purchase,6,0.56
225,18-25,10977,0-25000,Associate,Entertainment,0.58,Home Purchase,9,0.5
226,36-45,3984887,1000001-5000000,High School,Technology,0.63,Wealth Building,24,0.28
227,36-45,498274,250001-1000000,PhD,Entertainment,0.34,Education,9,0.28
228,66+,11740,0-25000,High School,Manufacturing,0.18,Retirement,7,0.78
229,18-25,10741,0-25000,Associate,Agriculture,0.48,Retirement,35,0.53
230,66+,3339,0-25000,High School,Technology,0.16,Home Purchase,7,0.7
231,18-25,10864,0-25000,Bachelor,Healthcare,0.71,Wealth Building,25,0.39
232,36-45,9170,0-25000,High School,Retail,0.49,Home Purchase,10,0.34
233,56-65,6535,0-25000,Associate,Education,0.11,Wealth Building,12,0.52
234,36-45,776798,250001-1000000,Bachelor,Technology,0.51,Wealth Building,18,0.33
235,26-35,1669515,1000001-5000000,Master,Technology,0.68,Wealth Building,15,0.1
236,66+,194053,100001-250000,High School,Finance,0.56,Home Purchase,10,0.36
237,18-25,1840,0-25000,High School,Retail,0.41,Wealth Building,20,0.56
238,66+,17245,0-25000,Master,Manufacturing,0.47,Retirement,8,0.39
239,66+,920319,250001-1000000,Master,Technology,0.17,Retirement,7,0.63
240,46-55,481626,250001-1000000,Associate,Healthcare,0.38,Education,7,0.55
241,36-45,72004,50001-100000,Associate,Healthcare,0.29,Retirement,15,0.29
242,46-55,684131,250001-1000000,Bachelor,Finance,0.24,Wealth Building,30,0.39
243,26-35,26095,25001-50000,Associate,Agriculture,0.36,Home Purchase,8,0.51
244,36-45,26016,25001-50000,Bachelor,Manufacturing,0.42,Education,11,0.63
245,46-55,67385,50001-100000,Associate,Technology,0.33,Home Purchase,8,0.62
246,18-25,28179,25001-50000,Associate,Healthcare,0.44,Home Purchase,4,0.51
247,36-45,37500,25001-50000,Bachelor,Healthcare,0.43,Retirement,17,0.65
248,66+,11265,0-25000,High School,Government,0.18,Education,11,0.76
249,18-25,9792,0-25000,Bachelor,Government,0.53,Wealth Building,29,0.24
250,66+,6943,0-25000,High School,Retail,0.47,Income Generation,15,0.28
251,56-65,48826,25001-50000,High School,Finance,0.28,Retirement,5,0.65
252,26-35,38750,25001-50000,High School,Manufacturing,0.8,Wealth Building,21,0.58
253,46-55,87489,50001-100000,High School,Healthcare,0.15,Wealth Building,11,0.18
254,46-55,53231,50001-100000,Master,Entertainment,0.34,Home Purchase,6,0.32
255,56-65,13656,0-25000,High School,Retail,0.48,Home Purchase,8,0.67
256,56-65,10194,0-25000,High School,Government,0.31,Retirement,5,0.38
257,36-45,988863,250001-1000000,Bachelor,Healthcare,0.14,Wealth Building,17,0.22
258,46-55,15551,0-25000,High School,Finance,0.42,Education,18,0.9
259,56-65,159012,100001-250000,Bachelor,Healthcare,0.67,Home Purchase,6,0.1
260,46-55,48245,25001-50000,Bachelor,Finance,0.33,Home Purchase,9,0.47
261,56-65,4536990,1000001-5000000,Master,Finance,0.24,Home Purchase,7,0.51
262,66+,23301,0-25000,Associate,Education,0.27,Retirement,9,0.63
263,36-45,92953,50001-100000,Associate,Construction,0.35,Home Purchase,6,0.26
264,46-55,91833,50001-100000,Master,Retail,0.43,Wealth Building,27,0.31
265,56-65,8475,0-25000,Associate,Construction,0.36,Retirement,11,0.61
266,36-45,9635,0-25000,High School,Healthcare,0.48,Home Purchase,6,0.5
267,36-45,34777,25001-50000,Master,Healthcare,0.64,Income Generation,24,0.4
268,46-55,31862,25001-50000,Associate,Government,0.37,Retirement,16,0.51
269,18-25,651937,250001-1000000,Master,Finance,0.74,Retirement,45,0.38
270,26-35,181814,100001-250000,Bachelor,Finance,0.45,Wealth Building,29,0.36
271,36-45,58769,50001-100000,Master,Finance,0.64,Retirement,18,0.55
272,56-65,12012,0-25000,Associate,Manufacturing,0.47,Home Purchase,3,0.62
273,18-25,22601,0-25000,High School,Healthcare,0.29,Retirement,35,0.35
274,46-55,67694,50001-100000,Bachelor,Education,0.61,Home Purchase,4,0.55
275,56-65,67236,50001-100000,PhD,Finance,0.35,Home Purchase,10,0.66
276,66+,2951,0-25000,High School,Government,0.54,Home Purchase,7,0.49
277,66+,1292,0-25000,High School,Retail,0.23,Wealth Building,5,0.56
278,56-65,170336,100001-250000,Associate,Manufacturing,0.22,Income Generation,9,0.63
279,46-55,38820,25001-50000,Bachelor,Technology,0.44,Income Generation,15,0.44
280,36-45,45032,25001-50000,Associate,Technology,0.72,Income Generation,14,0.44
281,18-25,215524,100001-250000,Bachelor,Healthcare,0.73,Wealth Building,28,0.42
282,46-55,604734,250001-1000000,Master,Finance,0.38,Home Purchase,9,0.56
283,46-55,5142,0-25000,High School,Retail,0.1,Education,9,0.35
284,56-65,76430,50001-100000,High School,Education,0.35,Home Purchase,4,0.19
285,18-25,17992,0-25000,High School,Retail,0.54,Home Purchase,10,0.68
286,66+,7304,0-25000,High School,Government,0.34,Education,6,0.2
287,66+,11637,0-25000,Master,Manufacturing,0.3,Retirement,10,0.17
288,26-35,57010,50001-100000,Associate,Technology,0.61,Wealth Building,16,0.46
289,56-65,45751,25001-50000,Bachelor,Government,0.3,Income Generation,7,0.59
290,36-45,44174,25001-50000,Bachelor,Construction,0.24,Wealth Building,14,0.15
291,36-45,71093,50001-100000,Associate,Agriculture,0.66,Retirement,24,0.6
292,46-55,22986,0-25000,High School,Government,0.37,Retirement,20,0.38
293,66+,3726660,1000001-5000000,Bachelor,Finance,0.47,Wealth Building,13,0.24
294,46-55,77360,50001-100000,Master,Education,0.58,Retirement,10,0.37
295,66+,8748,0-25000,High School,Manufacturing,0.1,Wealth Building,9,0.33
296,26-35,39831,25001-50000,Master,Retail,0.52,Wealth Building,19,0.5
297,66+,38651,25001-50000,PhD,Finance,0.32,Retirement,10,0.6
298,56-65,243292,100001-250000,Bachelor,Finance,0.23,Income Generation,6,0.25
299,18-25,37361,25001-50000,Associate,Healthcare,0.8,Wealth Building,30,0.54
300,46-55,43766,25001-50000,High School,Retail,0.52,Home Purchase,5,0.4
301,66+,7248,0-25000,Associate,Manufacturing,0.32,Home Purchase,3,0.35
302,56-65,21045,0-25000,Associate,Agriculture,0.38,Income Generation,6,0.44
303,66+,16936,0-25000,High School,Entertainment,0.24,Wealth Building,8,0.45
304,46-55,17628,0-25000,Associate,Education,0.4,Wealth Building,13,0.41
305,18-25,22480,0-25000,High School,Manufacturing,0.67,Home Purchase,7,0.46
306,18-25,35368,25001-50000,Bachelor,Education,0.63,Wealth Building,28,0.38
307,26-35,22474,0-25000,High School,Government,0.42,Wealth Building,25,0.39
308,26-35,85765,50001-100000,Bachelor,Healthcare,0.77,Income Generation,10,0.43
309,46-55,164,0-25000,High School,Retail,0.21,Wealth Building,21,0.61
310,66+,20214,0-25000,High School,Education,0.27,Retirement,6,0.61
311,46-55,29202,25001-50000,Associate,Healthcare,0.24,Home Purchase,7,0.51
312,66+,70732,50001-100000,Associate,Finance,0.55,Home Purchase,8,0.58
313,36-45,35010,25001-50000,High School,Manufacturing,0.27,Wealth Building,27,0.16
314,18-25,97673,50001-100000,High School,Education,0.47,Income Generation,27,0.43
315,18-25,12861,0-25000,Associate,Government,0.41,Home Purchase,8,0.5
316,56-65,143475,100001-250000,Associate,Technology,0.4,Wealth Building,7,0.47
317,46-55,32171,25001-50000,Associate,Healthcare,0.17,Home Purchase,9,0.44
318,26-35,21250,0-25000,Associate,Retail,0.33,Retirement,31,0.4
319,36-45,235441,100001-250000,PhD,Technology,0.36,Education,14,0.33
320,26-35,34202,25001-50000,Associate,Finance,0.54,Retirement,26,0.44
321,56-65,5283,0-25000,High School,Education,0.1,Retirement,5,0.62
322,46-55,5899,0-25000,High School,Agriculture,0.64,Wealth Building,19,0.65
323,56-65,80895,50001-100000,Associate,Government,0.47,Wealth Building,7,0.46
324,26-35,22465,0-25000,High School,Retail,0.34,Retirement,33,0.69
325,46-55,29901,25001-50000,Associate,Construction,0.59,Home Purchase,4,0.44
326,56-65,50079,50001-100000,Bachelor,Manufacturing,0.36,Retirement,11,0.1
327,46-55,199939,100001-250000,Master,Government,0.63,Education,12,0.1
328,26-35,33448,25001-50000,Bachelor,Government,0.51,Retirement,28,0.52
329,36-45,30072,25001-50000,Bachelor,Healthcare,0.46,Home Purchase,6,0.35
330,46-55,37132,25001-50000,Bachelor,Agriculture,0.48,Education,18,0.56
331,66+,22915,0-25000,High School,Retail,0.62,Home Purchase,3,0.48
332,56-65,2622,0-25000,Associate,Construction,0.24,Retirement,5,0.56
333,66+,21524,0-25000,Associate,Education,0.41,Wealth Building,14,0.61
334,26-35,44205,25001-50000,High School,Retail,0.71,Wealth Building,27,0.61
335,36-45,539940,250001-1000000,PhD,Healthcare,0.34,Home Purchase,7,0.25
336,56-65,33445,25001-50000,Master,Manufacturing,0.42,Wealth Building,12,0.9
337,26-35,226346,100001-250000,Associate,Finance,0.41,Income Generation,26,0.38
338,18-25,9413,0-25000,Associate,Entertainment,0.5,Wealth Building,18,0.18
339,46-55,449406,250001-1000000,Bachelor,Finance,0.56,Retirement,19,0.13
340,56-65,2571,0-25000,Associate,Retail,0.46,Retirement,10,0.56
341,46-55,4762290,1000001-5000000,Bachelor,Technology,0.59,Education,7,0.24
342,56-65,37902,25001-50000,Bachelor,Education,0.13,Education,5,0.52
343,56-65,11848,0-25000,High School,Retail,0.17,Home Purchase,5,0.5
344,36-45,74400,50001-100000,Bachelor,Education,0.71,Wealth Building,17,0.5
345,18-25,24200,0-25000,Bachelor,Education,0.5,Wealth Building,26,0.51
346,46-55,33224,25001-50000,Bachelor,Finance,0.44,Wealth Building,25,0.54
347,56-65,43268,25001-50000,Associate,Technology,0.38,Retirement,10,0.36
348,56-65,217161,100001-250000,Bachelor,Technology,0.41,Retirement,11,0.43
349,26-35,118703,100001-250000,Bachelor,Healthcare,0.66,Home Purchase,7,0.36
350,18-25,756,0-25000,High School,Manufacturing,0.75,Retirement,36,0.49
351,56-65,237359,100001-250000,Associate,Technology,0.1,Wealth Building,9,0.1
352,26-35,29143,25001-50000,Master,Technology,0.8,Education,12,0.34
353,46-55,981511,250001-1000000,Master,Healthcare,0.4,Home Purchase,10,0.35
