profile_id,age_numeric,income,education_numeric,job_sector_numeric,risk_tolerance,investment_goal_numeric,investment_horizon,liquidity_needs,interest_rate,inflation_rate,gdp_growth_rate,unemployment_rate
139,5,58433,1,6,0.38,2,3,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
140,4,44866,0,8,0.24,2,8,0.45,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
141,1,43446,3,2,0.6,3,30,0.22,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
142,3,856575,3,2,0.22,2,5,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
143,1,95910,0,2,0.19,1,12,0.29,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
144,2,84438,4,3,0.49,3,30,0.51,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
145,1,33078,1,8,0.65,2,8,0.69,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
146,1,68861,2,2,0.43,3,21,0.48,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
147,5,171076,3,0,0.4,0,6,0.39,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
148,2,48507,2,0,0.18,3,25,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
149,2,586769,1,3,0.53,3,11,0.43,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
150,5,146082,0,4,0.39,3,9,0.37,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
151,3,2193539,3,2,0.46,3,20,0.1,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
152,0,6101,0,4,0.56,2,9,0.67,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
153,0,21930,3,5,0.48,0,39,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
154,4,11781,0,1,0.22,2,4,0.46,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
155,2,751411,3,2,0.45,2,6,0.51,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
156,2,55366,2,2,0.29,0,22,0.28,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
157,4,55960,2,0,0.19,2,10,0.46,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
158,5,8338,1,5,0.1,0,4,0.74,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
159,5,5897,1,9,0.32,4,11,0.34,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
160,3,27630,2,3,0.45,0,16,0.48,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
161,5,113,3,5,0.38,1,8,0.49,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
162,5,23757,0,5,0.71,3,8,0.42,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
163,4,19588,2,3,0.11,2,5,0.5,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
164,3,183599,3,4,0.4,2,5,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
165,4,36286,2,6,0.26,0,7,0.57,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
166,4,178837,1,1,0.17,1,7,0.31,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
167,4,27591,3,0,0.42,0,14,0.66,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
168,3,24959,1,3,0.27,3,25,0.59,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
169,5,10538,0,5,0.2,2,10,0.45,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
170,2,638713,0,5,0.5,3,19,0.17,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
171,2,33053,2,5,0.1,4,30,0.56,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
172,1,73081,2,3,0.74,2,3,0.44,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
173,3,7167,0,5,0.46,2,3,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
174,5,362215,3,0,0.39,1,6,0.25,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
175,1,95695,2,6,0.78,3,12,0.36,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
176,0,45865,1,3,0.45,2,3,0.56,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
177,4,2436,0,5,0.35,3,5,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
178,1,27522,2,4,0.77,2,5,0.69,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
179,5,24427,0,5,0.38,3,14,0.38,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
180,5,8956,0,3,0.27,0,9,0.22,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
181,1,119270,2,2,0.65,1,6,0.3,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
182,2,6140,1,5,0.44,3,22,0.29,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
183,5,246680,4,2,0.2,0,7,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
184,1,38799,2,2,0.48,2,7,0.24,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
185,4,199586,2,1,0.26,4,10,0.17,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
186,3,43871,1,1,0.49,4,16,0.5,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
187,0,86052,2,8,0.18,3,12,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
188,1,65862,1,3,0.44,2,9,0.52,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
189,3,209656,3,1,0.65,2,4,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
190,3,46201,2,4,0.17,0,14,0.17,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
191,3,95067,2,2,0.57,2,3,0.39,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
192,1,340026,4,0,0.47,0,30,0.29,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
193,0,70901,0,5,0.35,0,38,0.41,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
194,5,38972,1,3,0.1,1,16,0.49,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
195,0,75483,1,1,0.8,2,5,0.36,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
196,5,21977,1,5,0.32,2,8,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
197,5,177974,3,2,0.27,0,5,0.35,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
198,2,12573,0,5,0.3,0,20,0.73,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
199,3,102513,2,1,0.47,1,11,0.45,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
200,0,18526,1,4,0.38,0,44,0.77,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
201,3,28710,1,3,0.65,1,11,0.54,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
202,2,2886315,4,0,0.62,3,21,0.49,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
203,1,45191,1,1,0.3,0,27,0.3,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
204,5,8760,1,8,0.35,3,11,0.61,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
205,1,165452,2,0,0.67,0,29,0.4,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
206,2,3050,1,5,0.59,2,3,0.61,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
207,3,240097,4,4,0.44,0,19,0.55,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
208,2,5176,0,9,0.15,0,19,0.33,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
209,4,12184,1,1,0.43,3,11,0.64,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
210,0,15624,1,5,0.5,1,18,0.48,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
211,0,12552,2,1,0.47,1,15,0.51,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
212,2,78843,1,5,0.72,1,6,0.33,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
213,2,164956,1,2,0.53,3,10,0.61,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
214,3,41966,1,2,0.55,3,17,0.45,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
215,0,44462,3,0,0.49,1,11,0.34,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
216,0,119135,1,0,0.71,2,9,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
217,3,85236,1,2,0.4,3,27,0.29,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
218,2,117332,2,7,0.38,4,13,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
219,3,49304,1,0,0.38,2,5,0.32,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
220,4,130948,0,4,0.29,3,14,0.42,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
221,2,26817,2,2,0.37,2,6,0.27,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
222,5,437655,4,2,0.33,1,9,0.5,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
223,5,22063,0,7,0.1,0,8,0.3,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
224,3,34555,1,4,0.35,2,6,0.56,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
225,0,10977,1,7,0.58,2,9,0.5,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
226,2,3984887,0,0,0.63,3,24,0.28,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
227,2,498274,4,7,0.34,1,9,0.28,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
228,5,11740,0,4,0.18,0,7,0.78,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
229,0,10741,1,9,0.48,0,35,0.53,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
230,5,3339,0,0,0.16,2,7,0.7,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
231,0,10864,2,1,0.71,3,25,0.39,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
232,2,9170,0,5,0.49,2,10,0.34,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
233,4,6535,1,3,0.11,3,12,0.52,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
234,2,776798,2,0,0.51,3,18,0.33,0.030561140863660397,0.01961390792506721,0.024558716841298404,0.04940366256250486
